Source,Target,Type,Id,Label,Weight,movie_id
5102317,5097316,Undirected,756,181935,1,828
5102317,5098545,Undirected,757,181932,1,828
5099090,5098606,Undirected,758,181846,1,828
5099090,5098583,Undirected,759,181845,1,828
5099090,5097941,Undirected,760,181707,1,828
5099090,5100274,Undirected,761,181791,1,828
5099090,5099096,Undirected,762,181704,1,828
5099090,5098717,Undirected,763,182064,1,828
5100327,5098606,Undirected,764,181826,1,828
5100327,5099110,Undirected,765,181822,1,828
5100327,5099090,Undirected,766,181824,1,828
5100327,5098583,Undirected,767,181825,1,828
5100327,5098619,Undirected,768,181821,1,828
5100327,5097316,Undirected,769,181823,1,828
5100327,5100333,Undirected,770,181820,1,828
5102924,5097894,Undirected,771,181997,1,828
5102924,5102939,Undirected,772,181996,1,828
5099499,5098095,Undirected,773,181740,1,828
5099499,5097316,Undirected,774,181739,1,828
5103242,5098619,Undirected,775,182024,3,828
5103242,5100235,Undirected,776,182114,1,828
5104295,5097875,Undirected,777,182076,1,828
5104295,5098095,Undirected,778,182074,1,828
5104295,5097994,Undirected,779,182073,1,828
5104295,5097316,Undirected,780,182075,1,828
5102267,5098583,Undirected,781,181931,1,828
5102267,5098095,Undirected,782,181939,1,828
5102267,5097316,Undirected,783,181940,1,828
5098583,5098606,Undirected,784,181674,3,828
5098583,5103072,Undirected,785,182008,1,828
5098583,5101981,Undirected,786,181965,1,828
5098583,5098545,Undirected,787,181748,2,828
5098095,5097875,Undirected,788,181763,4,828
5098095,5099110,Undirected,789,181711,2,828
5098095,5105151,Undirected,790,182097,1,828
5098095,5101285,Undirected,791,181883,2,828
5098095,5099090,Undirected,792,181775,2,828
5098095,5100327,Undirected,793,181804,1,828
5098095,5098583,Undirected,794,181810,1,828
5098095,5105104,Undirected,795,182100,1,828
5098095,5101840,Undirected,796,181903,1,828
5098095,5097941,Undirected,797,181712,3,828
5098095,5100274,Undirected,798,181777,1,828
5098095,5097994,Undirected,799,182104,2,828
5098095,5099903,Undirected,800,181751,1,828
5098095,5098242,Undirected,801,181660,1,828
5098095,5105174,Undirected,802,182098,1,828
5098095,5098041,Undirected,803,181757,2,828
5098095,5098193,Undirected,804,181658,1,828
5098095,5098267,Undirected,805,181661,2,828
5098095,5100235,Undirected,806,181773,1,828
5098095,5100134,Undirected,807,182087,2,828
5098095,5102690,Undirected,808,182047,1,828
5098095,5102237,Undirected,809,181957,1,828
5098095,5098717,Undirected,810,181851,2,828
5098095,5100333,Undirected,811,181805,1,828
5098095,5098463,Undirected,812,182108,1,828
5105104,5097316,Undirected,813,182102,1,828
5101061,5097875,Undirected,814,181995,4,828
5101061,5098541,Undirected,815,181875,1,828
5101061,5102924,Undirected,816,181992,1,828
5101061,5104295,Undirected,817,182068,1,828
5101061,5103789,Undirected,818,182042,1,828
5101061,5098095,Undirected,819,182070,1,828
5101061,5097941,Undirected,820,182040,1,828
5101061,5103072,Undirected,821,182060,1,828
5101061,5097994,Undirected,822,182069,1,828
5101061,5099903,Undirected,823,182009,1,828
5101061,5098619,Undirected,824,182010,1,828
5101061,5097316,Undirected,825,182012,2,828
5101061,5097894,Undirected,826,181994,2,828
5101061,5098545,Undirected,827,181891,1,828
5101061,5102939,Undirected,828,181993,1,828
5102992,5098463,Undirected,829,182007,1,828
5097505,5096969,Undirected,830,181735,4,828
5097505,5097316,Undirected,831,182126,4,828
5097941,5097875,Undirected,832,181890,7,828
5097941,5097979,Undirected,833,181644,1,828
5097941,5103789,Undirected,834,182044,1,828
5097941,5097994,Undirected,835,181645,1,828
5097941,5098041,Undirected,836,181646,1,828
5097941,5097316,Undirected,837,181863,3,828
5097941,5097894,Undirected,838,181962,1,828
5096969,5097262,Undirected,839,181592,1,828
5096969,5096948,Undirected,840,181612,4,828
5096969,5097161,Undirected,841,181590,1,828
5096969,5097296,Undirected,842,181594,1,828
5096969,5097320,Undirected,843,181596,1,828
5097994,5097875,Undirected,844,182079,1,828
5097994,5098041,Undirected,845,181649,1,828
5097994,5097316,Undirected,846,182078,3,828
5099903,5097875,Undirected,847,182017,1,828
5099903,5098619,Undirected,848,182014,1,828
5099903,5097316,Undirected,849,182016,1,828
5099903,5097894,Undirected,850,182015,1,828
5099096,5099110,Undirected,851,181709,1,828
5099096,5098095,Undirected,852,181708,2,828
5099096,5097941,Undirected,853,181710,2,828
